state,population,pop_over_85_pct,pop_75_84_pct,pop_65_74_pct,pop_50_64_pct,pop_40_49_pct,pop_30_39pct,pop_under_30_pct,Estimate!!Percent!!Total population!!AGE!!Under 5 years,Estimate!!Percent!!Total population!!AGE!!5 to 9 years,Estimate!!Percent!!Total population!!AGE!!10 to 14 years,Estimate!!Percent!!Total population!!AGE!!15 to 19 years,Estimate!!Percent!!Total population!!AGE!!20 to 24 years,Estimate!!Percent!!Total population!!AGE!!25 to 29 years,Estimate!!Percent!!Total population!!AGE!!30 to 34 years,Estimate!!Percent!!Total population!!AGE!!35 to 39 years,Estimate!!Percent!!Total population!!AGE!!40 to 44 years,Estimate!!Percent!!Total population!!AGE!!45 to 49 years,Estimate!!Percent!!Total population!!AGE!!50 to 54 years,Estimate!!Percent!!Total population!!AGE!!55 to 59 years,Estimate!!Percent!!Total population!!AGE!!60 to 64 years,Estimate!!Percent!!Total population!!AGE!!65 to 69 years,Estimate!!Percent!!Total population!!AGE!!70 to 74 years,Estimate!!Percent!!Total population!!AGE!!75 to 79 years,Estimate!!Percent!!Total population!!AGE!!80 to 84 years,Estimate!!Percent!!Total population!!AGE!!85 years and over
Alabama,5024279,1.7,5.4,10.3,19.6,12.3,12.7,38.1,5.8,6,6.5,6.7,6.5,6.6,6.4,6.3,6.1,6.2,6.2,6.6,6.8,5.6,4.7,3.2,2.2,1.7
Alaska,733391,0.9,3,8.4,19.1,11.8,14.6,42.2,7,7.2,6.8,6.4,6.5,8.3,7.9,6.7,6,5.8,6.1,6.7,6.3,4.9,3.5,1.9,1.1,0.9
Arizona,7151502,1.8,5.8,10.3,17.9,12.1,12.9,39.2,5.9,6.1,6.7,6.6,6.7,7.2,6.6,6.3,6.1,6,5.8,6.1,6,5.5,4.8,3.5,2.3,1.8
Arkansas,3011524,1.9,5.4,10,18.7,12.3,12.5,39.2,6.1,6.4,6.7,6.8,6.6,6.6,6.2,6.3,6.2,6.1,5.9,6.4,6.4,5.4,4.6,3.3,2.1,1.9
California,39538223,1.8,4.4,8.6,18.3,12.8,14.5,39.6,6,6,6.7,6.4,6.7,7.8,7.5,7,6.4,6.4,6.2,6.2,5.9,4.7,3.9,2.6,1.8,1.8
Colorado,5773714,1.5,4,9.1,18.2,12.8,15.3,39,5.7,6,6.4,6.3,6.6,8,7.8,7.5,6.5,6.3,5.9,6.2,6.1,5.1,4,2.5,1.5,1.5
Connecticut,3605944,2.5,5.3,9.9,21.6,12.3,12.3,36.2,5.1,5.4,6.1,6.7,6.7,6.2,6.2,6.1,5.9,6.4,7.1,7.3,7.2,5.6,4.3,3.1,2.2,2.5
Delaware,989948,1.9,5.9,11.5,20.3,11.9,12.3,36.2,5.6,5.6,6.2,6.2,5.9,6.7,6.5,5.8,5.9,6,6.2,6.8,7.3,6.1,5.4,3.6,2.3,1.9
District of Columbia,689545,1.6,3.6,7.2,15,12.3,20.3,40,6.4,5,4.5,5.3,7.1,11.7,11.6,8.7,6.8,5.5,5.1,5.3,4.6,4.4,2.8,2.1,1.5,1.6
Florida,21538187,2.6,6.8,11.5,19.8,12.2,12.6,34.5,5.3,5.2,5.9,5.7,5.9,6.5,6.4,6.2,5.9,6.3,6.3,6.9,6.6,6.1,5.4,4.1,2.7,2.6
Georgia,10711908,1.4,4.2,8.8,18.8,13.1,13.4,40.3,6,6.4,7.1,7,6.7,7.1,6.7,6.7,6.5,6.6,6.5,6.5,5.8,4.9,3.9,2.6,1.6,1.4
Hawaii,1455271,2.7,5.5,10.8,18.6,11.8,13.9,36.7,6,6,5.8,5.5,6.3,7.1,6.7,7.2,5.9,5.9,6,6.2,6.4,6,4.8,3.5,2,2.7
Idaho,1839106,1.6,4.8,9.7,17.9,11.8,12.9,41.1,6.5,7,7.2,7,6.7,6.7,6.4,6.5,6.1,5.7,5.6,5.9,6.4,5.3,4.4,2.9,1.9,1.6
Illinois,12812508,2,4.8,9.4,19.3,12.6,13.5,38.3,5.9,5.9,6.5,6.5,6.5,7,6.8,6.7,6.3,6.3,6.3,6.6,6.4,5.3,4.1,2.9,1.9,2
Indiana,6785528,1.9,4.8,9.5,19.1,12.3,12.5,39.9,6.2,6.1,7,6.9,6.9,6.8,6.4,6.1,6.1,6.2,6.1,6.6,6.4,5.3,4.2,2.9,1.9,1.9
Iowa,3190369,2.4,5.2,9.9,19.1,11.5,12.7,39.2,6,6.5,6.5,6.8,6.9,6.5,6.2,6.5,5.9,5.6,5.8,6.7,6.6,5.6,4.3,3,2.2,2.4
Kansas,2937880,2.2,4.8,9.4,18.4,11.2,13.1,40.8,6.3,6.8,7,6.8,7.3,6.6,6.4,6.7,5.7,5.5,5.7,6.2,6.5,5.3,4.1,2.9,1.9,2.2
Kentucky,4505836,1.7,5,10.2,19.7,12.5,12.3,38.5,6.1,5.9,6.5,6.6,6.6,6.8,6.1,6.2,6.2,6.3,6.3,6.6,6.8,5.7,4.5,3.1,1.9,1.7
Louisiana,4657757,1.6,4.7,9.6,18.8,11.9,13.8,39.4,6.3,6.4,6.8,6.5,6.4,7,6.8,7,6,5.9,5.8,6.4,6.6,5.3,4.3,2.9,1.8,1.6
Maine,1362359,2.6,6,12.6,22.6,12,11.9,32.3,4.7,4.8,5.4,5.8,5.5,6.1,6.1,5.8,5.7,6.3,6.9,7.6,8.1,6.9,5.7,3.7,2.3,2.6
Maryland,6177224,1.9,4.6,9.3,20.3,12.5,13.8,37.5,5.9,5.9,6.5,6.3,6.2,6.7,6.9,6.9,6.1,6.4,6.8,6.8,6.7,5.2,4.1,2.7,1.9,1.9
Massachusetts,7029917,2.3,4.9,9.8,20.4,12.2,13.5,36.9,5.2,5.2,5.7,6.5,7,7.3,7.1,6.4,6,6.2,6.8,7,6.6,5.4,4.4,3,1.9,2.3
Michigan,10077331,2.1,5.1,10.4,20.4,11.7,12.3,37.9,5.7,5.8,6.2,6.5,6.8,6.9,6.1,6.2,5.6,6.1,6.4,7,7,5.9,4.5,3.1,2,2.1
Minnesota,5706494,2,4.9,9.5,19.6,11.9,13.6,38.5,6.2,6.4,6.6,6.4,6.1,6.8,6.8,6.8,6.1,5.8,6.1,6.9,6.6,5.4,4.1,2.9,2,2
Mississippi,2961279,1.8,4.8,9.7,18.9,12.5,12.4,39.8,6,6.4,7.1,7.2,6.7,6.4,6,6.4,6.3,6.2,6,6.5,6.4,5.4,4.3,3,1.8,1.8
Missouri,6154913,2,5.3,9.9,19.6,11.7,13.2,38.4,6,6.2,6.4,6.5,6.4,6.9,6.6,6.6,5.8,5.9,6,6.8,6.8,5.5,4.4,3.2,2.1,2
Montana,1084225,2,5.6,11.8,19.7,11.4,12.4,37,5.5,5.8,6.3,6.6,6.4,6.4,6,6.4,6,5.4,5.5,6.8,7.4,6.6,5.2,3.7,1.9,2
Nebraska,1961504,2.1,4.7,9.2,18.1,11.3,13.4,41.1,6.7,6.8,7.1,6.8,6.9,6.8,6.6,6.8,5.8,5.5,5.6,6.2,6.3,5.1,4.1,2.7,2,2.1
Nevada,3104614,1.4,4.8,9.9,18.7,12.8,14.3,37.9,6,6,6.7,6,5.9,7.3,7.3,7,6.3,6.5,6.3,6.4,6,5.4,4.5,3.1,1.7,1.4
New Hampshire,1377529,2.1,5.3,11.2,22.8,12.1,12.1,34.1,4.7,4.9,5.6,6.4,6.2,6.3,6.2,5.9,5.8,6.3,7.1,8.1,7.6,6.2,5,3.2,2.1,2.1
New Jersey,9288994,2.2,5,9.4,20.7,13,12.9,36.8,5.8,5.9,6.3,6.3,6,6.5,6.4,6.5,6.4,6.6,6.9,7,6.8,5.2,4.2,3,2,2.2
New Mexico,2117522,1.9,5.4,10.7,18.6,11.3,13.3,38.8,5.6,6.2,7,6.6,6.6,6.8,6.5,6.8,5.7,5.6,5.6,6.3,6.7,6,4.7,3.4,2,1.9
New York,20201249,2.3,5.1,9.5,20,12.2,13.7,37.3,5.8,5.4,6,6.1,6.5,7.5,7.2,6.5,6,6.2,6.6,6.8,6.6,5.2,4.3,3,2.1,2.3
North Carolina,10439388,1.8,4.9,10,19.4,12.8,12.8,38.3,5.7,5.9,6.5,6.8,6.6,6.8,6.5,6.3,6.2,6.6,6.4,6.7,6.3,5.4,4.6,3,1.9,1.8
North Dakota,779094,2.4,4.6,8.8,17.5,10.4,14.1,42.2,6.6,6.4,6.6,6.2,8,8.4,7,7.1,5.5,4.9,5.2,6.2,6.1,5.3,3.5,2.8,1.8,2.4
Ohio,11799448,2.1,5.3,10.2,20.1,11.9,12.6,38,5.9,5.9,6.4,6.6,6.4,6.8,6.4,6.2,5.8,6.1,6.3,6.8,7,5.7,4.5,3.2,2.1,2.1
Oklahoma,3959353,1.9,4.9,9.3,18,11.8,13.4,40.6,6.3,6.6,7.1,6.9,6.8,6.9,6.7,6.7,6,5.8,5.6,6.3,6.1,5.1,4.2,2.9,2,1.9
Oregon,4237256,2,5,11,18.7,12.7,14.3,36.1,5.3,5.6,6,5.9,6.3,7,7.1,7.2,6.5,6.2,5.9,6.2,6.6,6,5,3.1,1.9,2
Pennsylvania,13002700,2.5,5.5,10.6,20.6,11.7,12.8,36.2,5.4,5.6,6,6.3,6.2,6.7,6.6,6.2,5.7,6,6.5,7,7.1,5.9,4.7,3.3,2.2,2.5
Rhode Island,1097379,2.5,5,10.2,21.1,11.3,13.3,36.7,5.2,4.6,5.9,6.8,7,7.2,6.8,6.5,5.3,6,6.8,6.9,7.4,5.8,4.4,3.2,1.8,2.5
South Carolina,5118425,1.7,5.4,11.1,19.7,12,12.7,37.4,5.6,5.8,6.5,6.6,6.2,6.7,6.4,6.3,5.9,6.1,6.2,6.9,6.6,5.9,5.2,3.4,2,1.7
South Dakota,886667,2.2,4.9,10.3,18.7,10.9,13,40.1,6.7,6.7,7.1,6.6,6.5,6.5,6.4,6.6,5.4,5.5,5.5,6.6,6.6,5.9,4.4,2.8,2.1,2.2
Tennessee,6910840,1.7,5,9.9,19.4,12.7,12.9,38.4,6,5.9,6.5,6.4,6.5,7.1,6.6,6.3,6.2,6.5,6.3,6.7,6.4,5.3,4.6,3.1,1.9,1.7
Texas,29145505,1.4,3.7,7.8,17.2,13,14.3,42.6,6.8,6.9,7.5,7.2,6.8,7.4,7.2,7.1,6.6,6.4,5.9,5.8,5.5,4.4,3.4,2.3,1.4,1.4
Utah,3271616,1.1,3.4,6.8,14.2,12.1,14.1,48.1,7.7,8,8.3,8,8.3,7.8,6.9,7.2,6.6,5.5,4.8,4.6,4.8,3.8,3,2,1.4,1.1
Vermont,643077,2.3,5.7,12,21.8,11.6,11.5,35.1,4.7,5,5.1,6.9,6.9,6.5,5.8,5.7,5.7,5.9,6.6,7.1,8.1,6.6,5.4,3.6,2.1,2.3
Virginia,8631393,1.8,4.7,9.5,19.6,12.6,13.8,38.3,5.9,5.9,6.4,6.5,6.6,7,6.8,7,6.3,6.3,6.5,6.7,6.4,5.1,4.4,2.8,1.9,1.8
Washington,7705281,1.7,4.5,9.6,18.6,12.6,14.7,38.2,6,6,6.3,6,6.2,7.7,7.6,7.1,6.4,6.2,6,6.3,6.3,5.3,4.3,2.8,1.7,1.7
West Virginia,1793716,2.3,6,12.1,20.7,12.6,11.5,34.8,5.1,5.5,5.9,6.1,5.9,6.3,5.5,6,6.3,6.3,6.4,6.8,7.5,6.6,5.5,3.7,2.3,2.3
Wisconsin,5893718,2.2,5.1,10.3,20.5,11.7,12.7,37.3,5.6,5.9,6.3,6.5,6.6,6.4,6.2,6.5,5.8,5.9,6.4,7.1,7,5.8,4.5,3,2.1,2.2
Wyoming,576851,1.7,5,10.4,18.8,11.8,13.1,39.2,5.7,7,6.7,6.7,6.5,6.6,6.7,6.4,6.3,5.5,5.5,6.5,6.8,5.9,4.5,3.1,1.9,1.7
Puerto Rico,3285874,2.7,7.1,11.5,19.9,12.9,11.6,34.2,3.6,4.8,5.9,6.5,7,6.4,5.7,5.9,6.5,6.4,6.5,6.7,6.7,6.1,5.4,4.1,3,2.7