state,overall_score,gdp_score,unemp_score,jobs_score,changes_mean_!!gdp,2020:Q2_over19_!!gdp,2020:Q3_over19_!!gdp,2020:Q4_over19_!!gdp,2021:Q1_over19_!!gdp,2021:Q2_over19_!!gdp,state_!!gdp,std_dev_!!gdp,zscore_!!gdp,percentile_!!gdp,score_!!gdp,state_!!unemp,Jan_change_2021_19_!!unemp,Feb_change_2021_19_!!unemp,Mar_change_2021_19_!!unemp,Mar_change_2020_19_!!unemp,Apr_change_2021_19_!!unemp,Apr_change_2020_19_!!unemp,May_change_2021_19_!!unemp,May_change_2020_19_!!unemp,Jun_change_2021_19_!!unemp,Jun_change_2020_19_!!unemp,Jul_change_2021_19_!!unemp,Jul_change_2020_19_!!unemp,Aug_change_2021_19_!!unemp,Aug_change_2020_19_!!unemp,Sep_change_2021_19_!!unemp,Sep_change_2020_19_!!unemp,Oct_change_2021_19_!!unemp,Oct_change_2020_19_!!unemp,Nov_change_2020_19_!!unemp,Dec_change_2020_19_!!unemp,mean_unemp_changes_!!unemp,std_dev_!!unemp,zscore_!!unemp,percentile_!!unemp,score_!!unemp,state_!!jobs,Jan_change_2021_19_!!jobs,Feb_change_2021_19_!!jobs,Mar_change_2021_19_!!jobs,Mar_change_2020_19_!!jobs,Apr_change_2021_19_!!jobs,Apr_change_2020_19_!!jobs,May_change_2021_19_!!jobs,May_change_2020_19_!!jobs,Jun_change_2021_19_!!jobs,Jun_change_2020_19_!!jobs,Jul_change_2021_19_!!jobs,Jul_change_2020_19_!!jobs,Aug_change_2021_19_!!jobs,Aug_change_2020_19_!!jobs,Sep_change_2021_19_!!jobs,Sep_change_2020_19_!!jobs,Oct_change_2021_19_!!jobs,Oct_change_2020_19_!!jobs,Nov_change_2020_19_!!jobs,Dec_change_2020_19_!!jobs,mean_jobs_changes_!!jobs,std_dev_!!jobs,zscore_!!jobs,percentile_!!jobs,score_!!jobs
NE,90.10854242284293,31.72986743901367,30.591347943325292,27.78732704050396,1.0142395205185717,0.9325726714401474,0.9995552931485667,1.0193125626461745,1.0584543249521727,1.0613027504057968,NE,0.022632195985184882,1.6635221952272532,0.9518960241223061,31.72986743901367,NE,1.0666666666666667,1.0333333333333334,0.9666666666666667,1.0333333333333334,0.9333333333333332,2.466666666666667,0.8666666666666667,1.8,0.8333333333333334,2.1999999999999997,0.7666666666666666,1.4666666666666668,0.7333333333333334,1.3333333333333333,0.6666666666666666,1.2666666666666666,0.6551724137931034,1.2413793103448276,1.1724137931034482,1.1724137931034482,1.183735632183908,0.5396011334179114,-1.3900321278954861,0.9177404392174993,30.591347943325292,NE,0.9728387850467289,0.9781356759394827,0.9861940663859787,1.0047978067169294,0.982819211245607,0.914681764935572,0.9782672254166261,0.9218399766104669,0.9839243959469991,0.9399844115354636,0.9874428112527986,0.9513287257860411,0.9888197550068055,0.95848726424266,0.9914355231143552,0.9628223844282238,0.9953348235980172,0.9658858975605014,0.9639945652173911,0.9686590335726761,0.9698847051779662,0.02890450787789555,0.9685688012596102,0.8336198120487386,27.78732704050396
SD,89.07599851260761,31.082268004394667,29.09120872485663,28.90252178335632,1.0104125362720087,0.9392505897062426,1.0062592141804094,1.0202709504685408,1.036581184125365,1.0497007428794851,SD,0.022632195985184882,1.4944275015851436,0.932468041064308,31.082268004394667,SD,1.0333333333333334,1.0,0.9666666666666667,0.9666666666666667,0.9333333333333332,3.0666666666666664,0.9333333333333332,2.3333333333333335,0.9666666666666667,2.033333333333333,0.9666666666666667,1.8,0.9666666666666667,1.5666666666666667,0.9666666666666667,1.3333333333333333,0.9333333333333332,1.2333333333333334,1.2413793103448276,1.1379310344827587,1.3189655172413792,0.5396011334179114,-1.1394213031907539,0.8727362626184352,29.09120872485663,SD,0.9807037457434733,0.9856590029592533,0.9913459348667729,1.0031883397859258,0.9943013448826077,0.9081376795076361,0.9895311788802914,0.9201183431952663,0.9902317128577919,0.9386642435256701,0.9936522330537293,0.9501246882793017,0.9922832501134815,0.9641398093508852,0.9907071622846783,0.9728014505893019,0.994343891402715,0.9735294117647059,0.9712864571557767,0.9762497172585388,0.9740499798728901,0.02890450787789555,1.1126734756072834,0.8670756543677652,28.90252178335632
UT,88.8961522323879,30.697852636867548,25.437499597753664,32.760799997766696,1.008533277467918,0.9466106427491838,1.0074497225287113,1.01291296327352,1.0315227111128595,1.0441703476753157,UT,0.022632195985184882,1.4113927485580515,0.9209355800269621,30.697852636867548,UT,1.1071428571428572,1.111111111111111,1.074074074074074,0.9259259259259258,1.0769230769230769,3.884615384615384,1.0384615384615385,2.923076923076923,1.08,2.52,1.04,2.16,1.0,1.92,1.0,1.7500000000000002,0.9166666666666667,1.5833333333333333,1.4583333333333335,1.375,1.547233211233211,0.5396011334179114,-0.7163908833953925,0.763124988695735,25.437499597753664,UT,1.0200753638253637,1.0239994810923008,1.0251665911884582,1.0148799896487029,1.0260309278350517,0.9228092783505155,1.0220493700179996,0.9496657238364619,1.0271903323262839,0.9659317349103298,1.03456457611902,0.9763370527125818,1.0352121676891617,0.98344836400818,1.0355339681728126,0.9834473061928803,1.0382701875239189,0.9864778670748819,0.9935023569881514,0.9963712757830404,1.003048195764805,0.02890450787789555,2.115915461750593,0.9828240009158249,32.760799997766696
ID,86.20448607435699,29.330569651162367,23.81989596481375,33.05402045838088,1.0031735135803843,0.9285951888361527,1.0082007138585436,1.0075439535765,1.032942393928941,1.0385853177017836,ID,0.022632195985184882,1.174572428910665,0.8799170904147882,29.330569651162367,ID,1.206896551724138,1.1379310344827587,1.142857142857143,0.9642857142857144,1.1071428571428572,4.142857142857143,1.0714285714285714,2.964285714285715,1.0714285714285714,2.5,1.0714285714285714,2.107142857142857,1.0357142857142858,1.7500000000000002,1.074074074074074,2.222222222222222,1.037037037037037,1.7777777777777777,1.6538461538461537,1.52,1.6279178139867796,0.5396011334179114,-0.566864505934877,0.7145968796590094,23.81989596481375,ID,1.0386100386100385,1.0408244680851064,1.0429521276595743,1.0277925531914893,1.0385175380542688,0.9183322303110523,1.0344599947187747,0.9490361763929231,1.0382132033205955,0.974304915008565,1.0378200919238345,0.9879185817465528,1.0335078534031414,0.9950261780104712,1.0315899855813344,0.9996067636649627,1.024380704041721,0.9983050847457627,1.0023388773388773,1.0070038910505836,1.0110270628429816,0.02890450787789555,2.3919577701643058,0.9916206147430472,33.05402045838088
MT,85.3545728967739,27.6330274297425,28.22754172991196,29.494003737119442,0.9980951291459534,0.9312091601222948,0.9922840954664528,0.9952879804109442,1.0300816252961171,1.0416127844339582,MT,0.022632195985184882,0.9501848158944468,0.8289908237212659,27.6330274297425,MT,1.081081081081081,1.0833333333333333,1.0555555555555556,1.0555555555555556,1.027777777777778,3.3055555555555554,1.0,2.5277777777777777,1.027777777777778,2.111111111111111,1.0,1.8333333333333333,0.9722222222222222,1.611111111111111,0.9166666666666666,1.4444444444444444,0.8611111111111112,1.3055555555555556,1.25,1.1666666666666667,1.381831831831832,0.5396011334179114,-1.022916146516511,0.846826252744185,28.22754172991196,MT,0.9912844988586844,0.9931435694992727,1.0004160599126275,1.014354066985646,0.9954432477216238,0.8819386909693455,0.9888521882741537,0.9273327828241124,0.9948304383788255,0.9522332506203474,0.9971157807993408,0.9575607746188711,0.9909502262443439,0.9635952283011107,0.9893070121324286,0.9749126053876208,0.9897330595482546,0.9741273100616016,0.9759901498050483,0.9780332580578935,0.9765577099500578,0.02890450787789555,1.1994326097797565,0.8848201129984034,29.494003737119442
AR,81.8230581705999,27.142733475937042,25.298541197380924,29.381783497281926,0.9968187174884573,0.9211722003105803,0.9923848140165176,0.9982634954665011,1.033810416002612,1.038462661646076,AR,0.022632195985184882,0.8937867686907335,0.8142820050923932,27.142733475937042,AR,1.2777777777777777,1.25,1.2571428571428573,1.1142857142857143,1.2941176470588236,2.9411764705882355,1.2941176470588236,2.5,1.2571428571428573,2.2285714285714286,1.2285714285714284,2.0285714285714285,1.2,1.8571428571428572,1.1428571428571428,1.6857142857142857,1.0571428571428572,1.5999999999999999,1.5142857142857142,1.3611111111111112,1.5544864612511673,0.5396011334179114,-0.7029490101880232,0.7589562366803839,25.298541197380924,AR,0.9853643265242232,0.9847393958365942,0.9885714285714287,1.0080626223091975,0.9857701329163409,0.911024237685692,0.990290501918409,0.9349307023725629,0.9927121698926417,0.9543922890055639,0.9935085249491632,0.9606600969810731,0.991869918699187,0.966541588492808,0.9922656249999999,0.9684375,0.9938507044446173,0.9694092005915779,0.9732774023149228,0.9755624515128006,0.9760620410009404,0.02890450787789555,1.182284109925988,0.8814535057999113,29.381783497281926
AZ,81.31439796096004,25.867633763045305,25.651441802066696,29.795322395848036,0.9937648141643504,0.9307912024871101,0.9974336842358459,1.00345645898281,1.0140614960478704,1.0230812290681148,AZ,0.022632195985184882,0.7588505333335447,0.7760290136673882,25.867633763045305,AZ,1.34,1.3800000000000001,1.34,1.0,1.3673469387755102,2.897959183673469,1.3673469387755102,2.1632653061224487,1.387755102040816,2.1836734693877546,1.3469387755102038,2.122448979591837,1.2916666666666667,1.4583333333333335,1.1875,1.4375000000000002,1.1063829787234043,1.4468085106382977,1.4468085106382977,1.4468085106382977,1.5359271602257925,0.5396011334179114,-0.7373434913630674,0.7695432548315442,25.651441802066696,AZ,0.9907726208511224,0.9885211533835104,0.990470640660885,1.020189901621362,0.9904918257062726,0.9103221834598809,0.9939220105169707,0.9374445127364611,1.0058282208588958,0.9561690524880709,1.0112092391304348,0.9537024456521739,1.0044567492740901,0.954115740428118,1.0050980789358182,0.9582025051487221,1.006333804999663,0.960346337847854,0.9619546951670362,0.9592849716604622,0.9779418345263904,0.02890450787789555,1.247318724367133,0.8938596727693008,29.795322395848036
MS,78.34045390933463,24.261007851755586,28.93052804428612,25.14891801329292,0.9903114435404049,0.9143289470557011,0.990583776435312,0.9929164121088268,1.0251040555468518,1.0286240265553328,MS,0.022632195985184882,0.6062638985144555,0.7278302362804978,24.261007851755586,MS,1.1851851851851851,1.1666666666666665,1.1481481481481481,1.111111111111111,1.1481481481481481,2.907407407407407,1.1296296296296295,2.0370370370370368,1.1272727272727272,1.7454545454545454,1.0892857142857142,1.517857142857143,1.0526315789473684,1.368421052631579,1.0175438596491226,1.263157894736842,0.9821428571428572,1.2321428571428572,1.1964285714285716,1.2,1.3312836067441332,0.5396011334179114,-1.1165931645159342,0.8679158421964994,28.93052804428612,MS,0.9681089467333218,0.9655797101449275,0.9690223487790145,0.9979290706704633,0.9694142042509071,0.8743735959910143,0.972457261267484,0.9026938352616128,0.9772766545705891,0.933817176429929,0.9810115656827205,0.9457103400655965,0.9792799792799792,0.9538979538979541,0.9840200397339552,0.9604388010710893,0.9912705272255835,0.9680207433016422,0.9688336355003022,0.9726997840172787,0.9617928086937685,0.02890450787789555,0.6886160506927712,0.7544675411532552,25.14891801329292
WA,73.1421742613974,31.147110713776467,20.85081369010623,21.14424985751471,1.0107534561640281,0.9419067766110495,1.0029230241760008,1.0068801330969306,1.0434454991544757,1.0586118477816842,WA,0.022632195985184882,1.5094909930926677,0.9344133223477074,31.147110713776467,WA,1.3333333333333333,1.2444444444444445,1.25,1.2045454545454544,1.2558139534883723,3.790697674418605,1.2380952380952381,2.9761904761904763,1.2682926829268295,2.634146341463415,1.2439024390243902,2.634146341463415,1.2439024390243902,2.2195121951219514,1.275,2.0,1.2820512820512822,1.794871794871795,1.717948717948718,1.6153846153846154,1.7611139711898356,0.5396011334179114,-0.32002262782507335,0.6255244113287113,20.85081369010623,WA,0.9504429920116195,0.964645726807889,0.9654542290288897,1.0145028425571412,0.9665355469427893,0.8969746051946549,0.9670697567029352,0.8941672198331841,0.9726335196174454,0.9162297632079276,0.9779714146032841,0.9237339314985764,0.9809668714474363,0.9317907791238446,0.9862789562821139,0.935671843155266,0.9868409735959405,0.9346635704251598,0.9367342264971945,0.9329449394562487,0.9518126853994768,0.02890450787789555,0.34333692203741506,0.6343274963597687,21.14424985751471
IA,71.16401144759773,29.732840863397612,21.09785650857098,20.33331407562913,1.0045898944583715,0.9217556574255985,0.9874335044035085,0.9982573839374479,1.052959959196481,1.062542967328822,IA,0.022632195985184882,1.2371549939836433,0.8919852267939136,29.732840863397612,IA,1.3333333333333333,1.3703703703703702,1.3703703703703702,1.074074074074074,1.4074074074074072,4.111111111111111,1.4444444444444444,3.074074074074074,1.4814814814814814,2.6296296296296293,1.4642857142857142,2.1785714285714284,1.4642857142857142,1.892857142857143,1.4285714285714286,1.6785714285714288,1.392857142857143,1.5000000000000002,1.392857142857143,1.3214285714285716,1.7505291005291006,0.5396011334179114,-0.3396387294327347,0.6329356958900652,21.09785650857098,IA,0.9528960442739451,0.9527653402282903,0.9608882159979814,0.9994322482967448,0.956149193548387,0.8899319556451613,0.9567244094488189,0.895244094488189,0.9634916624557858,0.9222460838807478,0.9680857773573006,0.9376852727846106,0.9658130440267441,0.9404566670871704,0.969752347343878,0.9465624803075177,0.9688561721404304,0.9517427960236567,0.9496538703587162,0.9508670520231215,0.9499622363858597,0.02890450787789555,0.2793175302721535,0.6099994228788733,20.33331407562913
KS,70.77774198960634,24.349162081021188,23.746272406975088,22.68230750161007,0.9904921818881934,0.9136792919149107,0.9850402311591678,0.9954011974567182,1.0270473679949808,1.0312928209151897,KS,0.022632195985184882,0.6142497938251379,0.7304748631611105,24.349162081021188,KS,1.0303030303030303,1.1515151515151516,1.15625,1.0,1.129032258064516,4.064516129032258,1.129032258064516,2.903225806451613,1.1935483870967742,2.258064516129032,1.225806451612903,2.129032258064516,1.225806451612903,2.0,1.2580645161290323,1.9677419354838708,1.2580645161290323,1.5161290322580645,1.5161290322580645,1.5161290322580645,1.6314195381231673,0.5396011334179114,-0.560375038215995,0.7123881729216408,23.746272406975088,KS,0.9608202381791277,0.959035464993302,0.9682830561037497,1.002184945023964,0.961241940005607,0.8906644238856182,0.9624894633323968,0.9143720146108458,0.9660933660933662,0.9314847314847315,0.9718101933216169,0.9461511423550089,0.9708418027616176,0.9522674703862058,0.9736860571187986,0.9506701284120412,0.9741844966678359,0.9525078919677306,0.9507817429713243,0.9493342676944639,0.9554452418684674,0.02890450787789555,0.4690113145694009,0.6804692257287713,22.68230750161007
NC,69.3212542946296,21.78237322500421,21.863224234396817,25.67565683522856,0.9855234932944864,0.910113105267327,0.976587151453881,0.9870396094506964,1.0216110788018067,1.0322665214987201,NC,0.022632195985184882,0.39470907418133716,0.6534711974035975,21.78237322500421,NC,1.475,1.425,1.3,0.975,1.2820512820512822,3.4615384615384617,1.2307692307692308,3.4615384615384617,1.2105263157894737,2.3157894736842106,1.1578947368421053,2.3157894736842106,1.162162162162162,1.8378378378378377,1.162162162162162,1.9729729729729728,1.1388888888888888,1.8888888888888888,1.8285714285714287,1.7428571428571427,1.7172619460119456,0.5396011334179114,-0.401290109418607,0.6558967276878013,21.863224234396817,NC,0.9744878916284279,0.9775391911474114,0.9789762139647047,1.008440206072564,0.9776214273189551,0.8879975451516746,0.9763812275632607,0.9028106120304702,0.9844204086091991,0.9302523762700754,0.9879420871309581,0.9399066765513934,0.9842728936133136,0.9489195782870088,0.984716870224022,0.9541723815122025,0.989720966620306,0.9568193671766341,0.9580267812574604,0.9619830409229901,0.9632703871526518,0.02890450787789555,0.7397353593184428,0.7702697058271265,25.67565683522856
MO,66.61546610357804,20.71274960670669,23.167787516512842,22.734928980358507,0.9835862824791463,0.9133872187770843,0.9786608617026271,0.9869422747736065,1.0143648837900352,1.0245761733523786,MO,0.022632195985184882,0.3091137207031216,0.6213824888225832,20.71274960670669,MO,1.3437499999999998,1.3437499999999998,1.3125,1.15625,1.3225806451612903,4.032258064516129,1.3548387096774195,3.096774193548387,1.3437499999999998,2.5312499999999996,1.3125,2.125,1.2121212121212122,1.8181818181818183,1.1176470588235294,1.5882352941176472,1.0882352941176472,1.4705882352941178,1.342857142857143,1.2571428571428573,1.65851052627796,0.5396011334179114,-0.510169457691739,0.6950336261904189,23.167787516512842,MO,0.9657414095552573,0.9631810980230074,0.9681458548331614,1.001857585139319,0.9658915261223507,0.8825610551987084,0.9684977154831838,0.901130234635336,0.9690796028446765,0.9240388909884221,0.9709613274821721,0.943431157432803,0.9734558798312699,0.9485922013786481,0.97607786688601,0.9511275618616765,0.9765410958904109,0.9517808219178081,0.9533898305084746,0.9559782794303473,0.9555730497721522,0.02890450787789555,0.4734330436721672,0.6820478700928031,22.734928980358507
KY,66.58674311376664,20.707302238644033,27.532650551147494,18.346790323975117,0.9835765584897243,0.9057821772421027,0.9793084035904491,0.9866952171394042,1.01846696533697,1.027630029139695,KY,0.022632195985184882,0.3086840677684982,0.62121906778054,20.707302238644033,KY,1.2619047619047619,1.2380952380952381,1.2195121951219514,1.024390243902439,1.1463414634146343,4.121951219512195,1.0975609756097562,2.658536585365854,1.0731707317073174,1.3902439024390245,1.0731707317073174,1.3658536585365855,1.048780487804878,1.3414634146341464,1.048780487804878,1.3414634146341464,1.024390243902439,1.3414634146341464,1.3658536585365855,1.3658536585365855,1.4274390243902437,0.5396011334179114,-0.938395952369532,0.8259795173604043,27.532650551147494,KY,0.9551384520187697,0.9585160724420825,0.9582432293275666,1.0015961281021522,0.9586210450376172,0.8564876842213748,0.9589894000205824,0.8707419985592261,0.9586891655520116,0.9169667661282026,0.9556685673190528,0.9299327066317357,0.9629344816979392,0.9403260535219933,0.9652254192952762,0.9450684720726265,0.9684048291805806,0.9538659131774981,0.951417004048583,0.9441738862972265,0.9455503637326048,0.02890450787789555,0.12668138535342713,0.5504037102696573,18.346790323975117
IN,64.31155887154515,25.272857374304728,18.893437534282466,20.14526396295795,0.9924437258311976,0.9073456289305938,0.9860640410067971,0.992027991479581,1.0337526045978143,1.0430283631412012,IN,0.022632195985184882,0.7004784542821968,0.7581857219873276,25.272857374304728,IN,1.2,1.1764705882352942,1.1818181818181819,1.0,1.1818181818181819,5.121212121212121,1.25,3.75,1.2812499999999998,3.1562499999999996,1.2812499999999998,2.6874999999999996,1.2812499999999998,2.28125,1.09375,1.9687499999999998,1.064516129032258,1.8064516129032255,1.6129032258064515,1.4838709677419353,1.843015550428382,0.5396011334179114,-0.16824092432906687,0.5668031265952771,18.893437534282466,IN,0.957333249115715,0.9575577536895995,0.9576169405815423,0.9919089759797725,0.9598972863302054,0.8446931270606137,0.9645024946769633,0.8852766390186545,0.9667300983190612,0.9205835712020298,0.9721755131825247,0.9423205050921666,0.9689863603278585,0.9469603468464192,0.9706991035509519,0.9502359910038329,0.9732292423907202,0.9525269445936976,0.952820059369671,0.9547075718839756,0.9495380887107986,0.02890450787789555,0.2646434290263225,0.6043579194930965,20.14526396295795
